Academic Performance (GPA),Relevant Skills (0-10),Experience (Months),Weekly Hours Available,Laptop Availability,Constant Internet Access,Internship Success
3.4363502971184063,2,11,35,0,0,0
4.87678576602479,8,33,12,1,0,0
4.3299848545285125,4,35,12,1,0,0
3.996646210492592,7,36,10,1,1,0
2.8900466011060915,6,2,30,0,1,0
2.8899863008405067,7,8,40,0,0,0
2.6452090304204985,6,17,29,0,0,0
4.6654403644373375,2,42,11,1,0,0
4.002787529358022,1,34,34,0,0,0
4.270181444490113,6,33,12,1,1,0
2.551461235739506,2,40,24,1,0,0
4.924774630404986,2,13,33,1,1,0
4.581106602001055,1,3,15,0,0,0
3.0308477766956905,3,28,39,1,1,0
2.954562418017752,7,40,22,1,1,0
2.9585112746335844,0,44,30,0,1,0
3.260605607398844,0,14,10,1,1,0
3.811891079080594,4,27,29,1,1,0
3.5798625466052894,10,41,28,1,0,0
3.2280728504951046,4,15,10,0,0,0
4.0296322368059485,10,11,37,1,1,1
2.8487346516301044,0,4,40,0,0,0
3.2303616213380453,5,33,30,0,0,0
3.415904608234229,0,41,31,1,0,0
3.64017496054259,4,0,11,1,0,0
4.462939903482534,8,38,24,1,0,0
2.9991844553958997,4,31,23,1,0,0
3.785586096034029,5,25,28,0,0,0
3.981036422155106,7,16,20,0,1,0
2.616126031799994,10,47,39,1,0,0
4.018862129753596,0,26,24,0,0,0
2.9263103092182288,1,23,15,1,0,0
2.6626289824631986,8,34,29,1,1,0
4.872213843133333,2,45,18,1,1,0
4.914080082686398,5,41,14,1,0,0
4.520993370291153,4,38,29,0,1,0
3.2615344229334267,10,25,11,0,1,0
2.74418028501596,1,48,15,1,0,0
4.210582566280392,6,37,35,1,1,0
3.600381234349004,3,22,27,0,0,0
2.805095587111947,0,21,37,0,1,0
3.737942275278176,3,3,38,0,0,0
2.585971302788046,5,48,32,1,1,0
4.773301005196956,6,8,28,0,0,0
3.1469499540000423,6,3,18,1,0,0
4.156305710884955,6,6,36,1,1,0
3.279277690223528,2,22,30,0,0,0
3.800170052944527,5,1,33,1,0,0
3.8667756983581993,7,48,36,0,1,0
2.962136138813817,3,23,15,1,0,0
4.9239615694113965,7,39,23,1,0,0
4.437832058402787,1,30,37,1,1,0
4.848747353910473,9,46,35,1,0,0
4.7370683760691215,8,30,33,1,1,1
3.994749947027713,8,46,38,1,0,0
4.804685587557792,7,39,22,0,1,0
2.7212312551297986,9,47,20,0,1,0
2.989957156047863,9,42,21,1,0,0
2.613068222276345,0,33,28,0,1,0
3.313325826908161,1,23,28,1,0,0
3.471693224223705,5,48,30,0,0,0
3.17837257943474,9,25,36,0,1,0
4.571843772879824,4,15,35,1,0,0
3.3918833167339733,8,46,28,0,0,0
3.202336274218452,4,12,33,1,1,0
3.856740207895621,1,14,35,0,0,0
2.8523105624369065,9,26,22,1,0,0
4.505492451885099,3,3,37,0,1,0
2.686376609199427,8,15,23,1,0,0
4.967217341501293,0,29,33,0,0,0
4.430611923241644,10,43,27,1,1,0
2.996789203835431,0,29,21,0,0,0
2.513805292809006,6,35,13,1,0,0
4.538653571137085,10,2,19,0,1,0
4.267143359619043,2,21,38,1,0,0
4.322517920102468,9,48,26,0,0,0
4.428175866714865,1,21,13,1,1,0
2.6851116293352257,8,48,21,1,1,0
3.396164321360682,2,11,22,1,0,0
2.7896726488128243,1,20,38,1,0,0
4.657758564688984,7,3,36,0,1,0
4.058245317068895,9,30,38,0,0,0
3.327245062131623,5,43,13,0,0,0
2.658895875715059,5,30,19,1,0,0
3.2774558042891555,9,22,34,1,1,0
3.312958305066868,10,19,40,1,0,0
4.32401544584516,6,14,12,1,0,0
4.093893678388033,6,22,24,1,1,0
4.718031856440817,10,27,11,0,1,0
3.680537312904873,5,15,34,0,1,0
2.7989856148457544,3,36,34,0,0,0
4.283111968057487,10,20,26,1,0,0
4.401962621542244,8,14,15,1,1,0
3.903192993923741,5,16,35,1,0,0
4.427417949886403,3,36,17,1,0,0
3.734488990910977,2,12,12,1,0,0
3.806832073454985,3,18,36,1,0,0
3.568852545896374,2,29,34,1,1,0
2.563547816860238,1,44,27,0,1,0
2.769728567483261,4,17,31,0,0,0
2.578572964216836,1,13,10,1,1,0
4.091026028159451,5,35,38,1,0,0
3.285889952690817,2,35,25,1,0,0
3.771426727911757,5,19,16,0,1,0
4.768916184815232,10,18,12,0,1,0
3.1232305728721874,9,44,32,1,0,0
3.525957307589074,8,43,13,0,0,0
4.388877846357621,0,6,18,0,0,0
3.071995413729056,5,43,14,0,0,0
2.6924497745719824,8,3,28,1,1,0
3.22437863228442,10,33,24,0,1,0
2.9030532181350117,3,1,17,0,0,0
4.8242441308564326,10,4,15,1,0,0
4.520300948911043,1,9,27,1,1,0
4.083509391276059,3,31,28,0,0,0
4.678651475469295,0,41,33,1,1,0
4.509180192247786,2,40,24,0,0,0
2.966425147215089,9,12,35,0,1,0
4.731397496224945,8,38,16,1,0,0
3.848355604789127,9,4,19,1,0,0
4.518600387910157,4,9,15,0,0,0
4.740228249808733,10,9,23,1,1,0
3.29500868742966,5,37,26,1,1,0
2.775129811319192,2,26,18,0,0,0
3.069837906354854,4,20,28,0,0,0
3.567769471565641,10,7,39,0,0,0
4.545036914806232,7,0,14,0,0,0
4.651826458140858,5,27,32,0,1,0
2.517380326327977,3,48,40,0,1,0
3.7768682564439136,1,38,16,1,1,0
3.5435275078719477,8,13,28,1,0,0
3.0552695261768257,0,20,40,0,0,0
2.799663418334207,0,29,29,1,1,0
3.34403792850907,3,20,35,1,0,0
4.857274259781298,6,48,16,0,1,0
3.308007330051888,0,8,33,1,1,0
3.796976554358415,8,16,11,1,1,0
4.2575473972379445,3,4,34,0,1,0
3.409074005948235,2,30,32,1,0,0
4.929455206802402,0,39,25,1,1,0
4.906118237355278,9,37,22,0,0,0
3.1294557395634106,3,42,17,1,1,0
3.743121264730964,8,18,15,1,1,0
3.2521957745419243,9,35,15,1,1,0
3.212101235943669,5,32,18,0,1,0
2.592217368386332,5,12,13,0,0,0
4.023910834949742,0,13,36,1,0,0
3.7566975580721538,9,32,20,1,0,0
2.6286968781249733,1,28,14,0,0,0
3.1966161605915286,10,42,34,0,1,0
4.770664714916634,5,48,26,1,0,0
3.098904726667431,1,35,29,0,0,0
2.8622371802280577,2,43,16,1,1,0
3.723631900693908,3,9,36,1,0,0
4.964126135276501,10,30,24,0,0,0
3.105138178778751,4,5,34,0,0,0
4.1803388685146965,8,0,24,1,0,0
4.404049038321794,3,6,23,1,1,0
3.0940938599809997,10,26,22,0,1,0
4.320540871529649,8,20,20,1,0,0
3.419457831798133,10,27,37,0,1,0
4.080764576483949,9,15,22,0,0,0
4.083824276902237,2,45,35,0,0,0
3.839436710186896,7,22,31,0,0,0
2.7257244251360206,0,19,37,0,1,0
4.588256238973095,10,37,33,1,1,1
